zip_code,partially_vaccinated,fully_vaccinated,etl_timestamp
19138,2632,12621,2021-10-27 15:00:02
19125,2479,13810,2021-10-27 15:00:02
19144,3779,17779,2021-10-27 15:00:02
19152,3695,17925,2021-10-27 15:00:02
19153,938,5191,2021-10-27 15:00:02
19133,2612,10490,2021-10-27 15:00:02
19126,1335,6793,2021-10-27 15:00:02
19119,2597,13659,2021-10-27 15:00:02
19120,6489,28721,2021-10-27 15:00:02
19128,3310,16973,2021-10-27 15:00:02
19104,4987,26131,2021-10-27 15:00:02
19127,470,2838,2021-10-27 15:00:02
19149,7259,28109,2021-10-27 15:00:02
19143,5040,27538,2021-10-27 15:00:02
19146,3824,24448,2021-10-27 15:00:02
19135,2677,13855,2021-10-27 15:00:02
19151,2143,11291,2021-10-27 15:00:02
19154,2394,14950,2021-10-27 15:00:02
19132,3059,13285,2021-10-27 15:00:02
19111,5771,30340,2021-10-27 15:00:02
19114,2428,15054,2021-10-27 15:00:02
19147,4217,24143,2021-10-27 15:00:02
19139,3496,16902,2021-10-27 15:00:02
19124,5880,28296,2021-10-27 15:00:02
19142,2526,10877,2021-10-27 15:00:02
19118,794,4660,2021-10-27 15:00:02
19122,2122,10770,2021-10-27 15:00:02
19123,2442,9799,2021-10-27 15:00:02
19130,3721,15867,2021-10-27 15:00:02
19116,2436,13974,2021-10-27 15:00:02
19129,1182,5385,2021-10-27 15:00:02
19140,4900,21741,2021-10-27 15:00:02
19134,5358,23894,2021-10-27 15:00:02
19145,4429,25625,2021-10-27 15:00:02
19121,3302,15877,2021-10-27 15:00:02
19107,2192,10004,2021-10-27 15:00:02
19150,1831,10735,2021-10-27 15:00:02
19131,3176,16266,2021-10-27 15:00:02
19102,896,3667,2021-10-27 15:00:02
19148,5650,30306,2021-10-27 15:00:02
19115,2730,17057,2021-10-27 15:00:02
19136,3045,16089,2021-10-27 15:00:02
19103,3292,15765,2021-10-27 15:00:02
19106,1881,7303,2021-10-27 15:00:02
19141,2549,11634,2021-10-27 15:00:02
19137,818,3462,2021-10-27 15:00:02
